OrderID,CustomerName,City,Country,FreightType,BookingType,Revenue,TotalLoads,DeliveryStatus,OnTimeDelivery,DriverName,TruckID,OrderDate,DeliveryDate,TransitDays,Month
ORD-10486,Elite Logistics,Lagos,Nigeria,Road Freight,Standard,7513.16,5,Delayed,False,John Musa,TRK-940,2026-03-13,2026-03-21,8,2026-03
ORD-10693,Blue Logistics,São Paulo,Brazil,Rail Freight,Express,16556.09,14,Delivered,True,Joseph Cole,TRK-293,2025-07-13,2025-07-27,14,2025-07
ORD-10678,Prime Logistics,Nairobi,Kenya,Rail Freight,Standard,10088.14,9,Delivered,True,Daniel Ali,TRK-927,2025-05-08,2025-05-16,8,2025-05
ORD-10809,Vision Imports,Shanghai,China,Sea Freight,Standard,19015.5,12,Delivered,False,Ibrahim Brown,TRK-251,2025-11-19,2025-12-24,35,2025-11
ORD-10408,Swift Logistics,Cairo,Egypt,Sea Freight,Express,23869.35,11,In Transit,False,James Ali,TRK-173,2025-08-26,2025-09-26,31,2025-08
ORD-10740,Apex Holdings,Cairo,Egypt,Road Freight,Standard,7300.29,6,Delivered,True,James Ali,TRK-274,2025-09-09,2025-09-11,2,2025-09
ORD-10213,Blue Partners,Nairobi,Kenya,Road Freight,Standard,4263.14,10,Delivered,False,James Okafor,TRK-938,2025-10-09,2025-10-11,2,2025-10
ORD-10589,Elite Exports,New York,USA,Rail Freight,Standard,8539.93,3,Delivered,True,John Ojo,TRK-901,2025-01-15,2025-01-24,9,2025-01
ORD-10365,Apex Industries,New York,USA,Sea Freight,Standard,23370.92,4,Delivered,True,David Ojo,TRK-791,2025-11-05,2025-12-07,32,2025-11
ORD-10199,Metro Retail,São Paulo,Brazil,Air Freight,Bulk Contract,8713.65,12,Delivered,True,Ibrahim Okafor,TRK-482,2025-05-04,2025-05-06,2,2025-05
ORD-10636,Elite Retail,Abuja,Nigeria,Road Freight,Standard,4033.84,6,Delivered,True,Samuel Musa,TRK-718,2025-05-13,2025-05-20,7,2025-05
ORD-10628,Vision Partners,Abuja,Nigeria,Sea Freight,Standard,33708.01,9,Delivered,True,Daniel Ade,TRK-980,2025-01-12,2025-01-25,13,2025-01
ORD-10828,Blue Holdings,Cairo,Egypt,Road Freight,Bulk Contract,6303.23,13,Delivered,False,Samuel Smith,TRK-194,2026-03-01,2026-03-07,6,2026-03
ORD-10352,Metro Imports,Abuja,Nigeria,Air Freight,Express,5108.43,10,Delivered,True,Ibrahim Musa,TRK-245,2025-10-08,2025-10-09,1,2025-10
ORD-10329,Apex Imports,Dubai,UAE,Air Freight,Express,9495.21,7,Delivered,True,Daniel Khan,TRK-833,2025-02-24,2025-02-25,1,2025-02
ORD-10981,Elite Imports,Accra,Ghana,Sea Freight,Standard,25647.86,10,Delivered,True,Ibrahim Ade,TRK-608,2025-05-23,2025-06-17,25,2025-05
ORD-10837,Titan Supplies,Hamburg,Germany,Road Freight,Same Day,8907.68,6,Delivered,True,Daniel Okafor,TRK-565,2025-09-12,2025-09-15,3,2025-09
ORD-10244,Nova Holdings,Dubai,UAE,Road Freight,Standard,9036.85,11,Delayed,False,Peter Musa,TRK-799,2025-01-07,2025-01-18,11,2025-01
ORD-10286,Elite Exports,São Paulo,Brazil,Sea Freight,Standard,24288.49,7,Delivered,True,David Ojo,TRK-277,2026-03-14,2026-04-15,32,2026-03
ORD-10289,Titan Industries,Port Harcourt,Nigeria,Road Freight,Express,3338.54,12,In Transit,False,Ibrahim Smith,TRK-492,2025-02-21,2025-02-22,1,2025-02
ORD-10598,Apex Industries,Cairo,Egypt,Road Freight,Bulk Contract,5964.65,10,Delayed,False,Daniel Ade,TRK-880,2025-12-24,2026-01-05,12,2025-12
ORD-10761,Nova Exports,Abuja,Nigeria,Air Freight,Express,8433.79,4,Delivered,True,Daniel Ojo,TRK-398,2026-02-17,2026-02-18,1,2026-02
ORD-10059,Titan Retail,Toronto,Canada,Air Freight,Standard,11857.06,11,Delivered,True,David Khan,TRK-403,2026-01-26,2026-01-28,2,2026-01
ORD-10622,Nova Retail,London,UK,Air Freight,Standard,7376.81,3,Delivered,True,Peter Smith,TRK-699,2025-08-06,2025-08-10,4,2025-08
ORD-10318,Vision Retail,Abuja,Nigeria,Air Freight,Express,11057.93,8,Delivered,True,David Brown,TRK-934,2026-03-13,2026-03-14,1,2026-03
ORD-10010,Swift Partners,Toronto,Canada,Air Freight,Bulk Contract,12664.12,7,Delayed,False,John Smith,TRK-612,2026-01-29,2026-02-03,5,2026-01
ORD-10237,Swift Logistics,Shanghai,China,Rail Freight,Standard,17757.39,7,Delivered,True,Ibrahim Smith,TRK-843,2025-05-09,2025-05-15,6,2025-05
ORD-10331,Swift Exports,Dubai,UAE,Air Freight,Express,8918.12,5,Delivered,False,Samuel Okafor,TRK-496,2025-08-10,2025-08-13,3,2025-08
ORD-10705,Nova Holdings,Hamburg,Germany,Road Freight,Bulk Contract,8390.75,10,Delivered,True,Ibrahim Khan,TRK-500,2025-06-19,2025-06-30,11,2025-06
ORD-10086,Swift Supplies,Johannesburg,South Africa,Sea Freight,Standard,21460.29,9,Delivered,True,John Smith,TRK-907,2026-01-22,2026-02-24,33,2026-01
ORD-10803,Prime Exports,Lagos,Nigeria,Road Freight,Express,6220.81,14,Delivered,True,Daniel Musa,TRK-493,2025-07-23,2025-07-29,6,2025-07
ORD-10174,Titan Industries,Abuja,Nigeria,Air Freight,Standard,7203.89,7,Delivered,True,James Cole,TRK-840,2025-05-08,2025-05-09,1,2025-05
ORD-10312,Vision Holdings,Lagos,Nigeria,Road Freight,Standard,8867.74,5,Delivered,True,David Musa,TRK-358,2026-03-05,2026-03-07,2,2026-03
ORD-10462,Elite Supplies,London,UK,Sea Freight,Standard,30365.33,1,Delivered,True,Daniel Cole,TRK-907,2025-01-30,2025-02-12,13,2025-01
ORD-10218,Vision Imports,Abuja,Nigeria,Sea Freight,Bulk Contract,33400.31,2,Delivered,True,Victor Ojo,TRK-456,2026-03-02,2026-04-04,33,2026-03
ORD-10547,Vision Supplies,Johannesburg,South Africa,Air Freight,Express,10831.6,7,Delivered,True,Victor Ali,TRK-299,2025-04-24,2025-04-26,2,2025-04
ORD-10664,Apex Imports,London,UK,Sea Freight,Standard,13532.14,10,Delivered,True,John Smith,TRK-667,2025-08-26,2025-09-22,27,2025-08
ORD-10054,Nova Retail,Toronto,Canada,Sea Freight,Express,23802.85,7,Delivered,True,Peter Khan,TRK-950,2025-10-03,2025-11-04,32,2025-10
ORD-10023,Titan Holdings,Hamburg,Germany,Air Freight,Express,7848.4,12,Delivered,True,Samuel Smith,TRK-568,2025-06-11,2025-06-13,2,2025-06
ORD-10256,Titan Supplies,Nairobi,Kenya,Sea Freight,Express,20327.36,4,Delivered,True,Michael Musa,TRK-343,2025-01-05,2025-01-24,19,2025-01
ORD-10450,Global Supplies,Shanghai,China,Sea Freight,Standard,24580.71,6,Delivered,True,Daniel Ojo,TRK-946,2026-01-16,2026-02-13,28,2026-01
ORD-10003,Nova Industries,Mumbai,India,Air Freight,Standard,12948.03,11,Delivered,True,Joseph Khan,TRK-821,2025-07-13,2025-07-14,1,2025-07
ORD-10833,Metro Exports,Accra,Ghana,Air Freight,Standard,6501.74,5,Delivered,True,David Brown,TRK-517,2025-07-23,2025-07-28,5,2025-07
ORD-10552,Titan Retail,Dubai,UAE,Road Freight,Express,7994.73,3,Delivered,True,Daniel Musa,TRK-857,2025-04-06,2025-04-12,6,2025-04
ORD-10638,Metro Exports,Shanghai,China,Rail Freight,Bulk Contract,20117.65,9,Delivered,True,James Ojo,TRK-880,2025-02-23,2025-03-02,7,2025-02
ORD-10477,Blue Supplies,Port Harcourt,Nigeria,Road Freight,Bulk Contract,5852.13,12,Delivered,True,Daniel Cole,TRK-234,2025-12-20,2025-12-29,9,2025-12
ORD-10956,Blue Retail,Port Harcourt,Nigeria,Sea Freight,Standard,26466.36,10,Delivered,True,David Brown,TRK-944,2025-08-05,2025-08-26,21,2025-08
ORD-10662,Global Logistics,Mumbai,India,Air Freight,Standard,9161.19,1,Delivered,True,James Ali,TRK-201,2025-03-28,2025-03-29,1,2025-03
ORD-10960,Swift Exports,Lagos,Nigeria,Road Freight,Bulk Contract,2437.26,10,Delivered,True,John Khan,TRK-540,2026-03-09,2026-03-17,8,2026-03
ORD-10953,Swift Imports,London,UK,Air Freight,Standard,5072.81,3,Delivered,True,Ibrahim Cole,TRK-781,2025-04-28,2025-05-02,4,2025-04
ORD-10979,Swift Supplies,Abuja,Nigeria,Sea Freight,Express,29392.4,8,Delivered,False,Joseph Ali,TRK-298,2025-01-11,2025-01-18,7,2025-01
ORD-10575,Titan Exports,Cairo,Egypt,Sea Freight,Bulk Contract,15060.25,1,Delivered,True,Daniel Ali,TRK-237,2025-01-19,2025-01-30,11,2025-01
ORD-10539,Global Retail,Nairobi,Kenya,Sea Freight,Express,32505.32,11,Delivered,True,Michael Okafor,TRK-122,2025-12-16,2026-01-11,26,2025-12
ORD-10737,Prime Holdings,Hamburg,Germany,Sea Freight,Express,165057.1,10,Delivered,False,Ibrahim Cole,TRK-182,2025-11-05,2025-11-30,25,2025-11
ORD-10998,Apex Imports,São Paulo,Brazil,Sea Freight,Standard,21814.35,4,Delivered,True,Joseph Musa,TRK-997,2025-07-07,2025-07-31,24,2025-07
ORD-10713,Elite Supplies,London,UK,Sea Freight,Bulk Contract,36393.45,3,Delivered,False,Peter Okafor,TRK-873,2026-01-05,2026-01-21,16,2026-01
ORD-10667,Blue Retail,São Paulo,Brazil,Rail Freight,Standard,12520.34,6,Delivered,False,John Mensah,TRK-856,2025-12-15,2025-12-26,11,2025-12
ORD-10039,Vision Holdings,Accra,Ghana,Sea Freight,Standard,22642.33,1,Delivered,True,Joseph Khan,TRK-835,2025-05-06,2025-05-31,25,2025-05
ORD-10231,Apex Logistics,Hamburg,Germany,Sea Freight,Bulk Contract,17101.92,8,In Transit,False,James Mensah,TRK-818,2025-12-14,2025-12-27,13,2025-12
ORD-10494,Swift Logistics,São Paulo,Brazil,Road Freight,Standard,5602.26,8,Delayed,False,James Cole,TRK-127,2025-05-14,2025-05-23,9,2025-05
ORD-10704,Apex Retail,Shanghai,China,Air Freight,Bulk Contract,8193.3,6,Delivered,True,Peter Cole,TRK-123,2026-02-19,2026-02-22,3,2026-02
ORD-10967,Blue Imports,Shanghai,China,Road Freight,Standard,10759.82,1,Delivered,True,James Ojo,TRK-255,2025-01-05,2025-01-10,5,2025-01
ORD-10066,Nova Retail,Nairobi,Kenya,Road Freight,Bulk Contract,4087.85,9,Delayed,False,Daniel Okafor,TRK-579,2025-02-06,2025-02-11,5,2025-02
ORD-10294,Metro Imports,Lagos,Nigeria,Air Freight,Bulk Contract,11075.84,4,Delivered,True,James Brown,TRK-943,2025-01-30,2025-02-01,2,2025-01
ORD-10067,Apex Industries,Toronto,Canada,Sea Freight,Standard,15564.03,14,Delivered,True,Joseph Smith,TRK-126,2025-10-04,2025-10-29,25,2025-10
ORD-10479,Metro Partners,Shanghai,China,Road Freight,Standard,7025.58,9,Delivered,True,Daniel Ade,TRK-166,2025-04-04,2025-04-16,12,2025-04
ORD-10328,Elite Industries,Abuja,Nigeria,Road Freight,Standard,6025.07,7,Delivered,False,David Ade,TRK-268,2026-03-01,2026-03-13,12,2026-03
ORD-10626,Titan Supplies,Dubai,UAE,Sea Freight,Bulk Contract,8043.85,9,Delivered,False,Unknown,TRK-114,2025-12-20,2026-01-20,31,2025-12
ORD-10107,Vision Partners,São Paulo,Brazil,Air Freight,Standard,8211.83,11,Delivered,True,Ibrahim Smith,TRK-320,2025-12-12,2025-12-13,1,2025-12
ORD-10983,Vision Imports,Hamburg,Germany,Air Freight,Standard,9630.77,7,Delivered,True,David Mensah,TRK-512,2025-11-19,2025-11-20,1,2025-11
ORD-10346,Prime Imports,London,UK,Air Freight,Standard,6297.34,10,In Transit,False,Michael Ali,TRK-955,2026-01-31,2026-02-05,5,2026-01
ORD-10298,Metro Partners,Accra,Ghana,Road Freight,Bulk Contract,5514.23,4,Delivered,True,James Khan,TRK-577,2025-12-30,2026-01-11,12,2025-12
ORD-10643,Apex Holdings,São Paulo,Brazil,Road Freight,Bulk Contract,2694.83,10,Delivered,False,Victor Smith,TRK-838,2025-11-20,2025-12-02,12,2025-11
ORD-10307,Apex Holdings,Accra,Ghana,Sea Freight,Express,39120.26,8,Delivered,True,Ibrahim Ojo,TRK-492,2025-03-23,2025-04-16,24,2025-03
ORD-10854,Vision Logistics,New York,USA,Air Freight,Bulk Contract,8668.42,4,Delivered,False,James Ali,TRK-316,2026-01-19,2026-01-24,5,2026-01
ORD-10506,Prime Exports,Shanghai,China,Sea Freight,Standard,36526.83,5,Delivered,True,Victor Ali,TRK-323,2025-04-13,2025-05-12,29,2025-04
ORD-10296,Blue Imports,São Paulo,Brazil,Sea Freight,Bulk Contract,25352.86,9,Delivered,True,Michael Khan,TRK-375,2025-01-15,2025-02-06,22,2025-01
ORD-10666,Nova Retail,Port Harcourt,Nigeria,Road Freight,Standard,5615.8,13,Delivered,True,Samuel Ade,TRK-161,2025-10-12,2025-10-21,9,2025-10
ORD-10100,Blue Holdings,Accra,Ghana,Sea Freight,Express,24504.51,10,Delivered,True,Daniel Khan,TRK-523,2025-12-26,2026-01-05,10,2025-12
ORD-10088,Metro Supplies,Shanghai,China,Air Freight,Bulk Contract,9032.5,13,In Transit,False,Daniel Okafor,TRK-244,2026-02-17,2026-02-20,3,2026-02
ORD-10063,Titan Logistics,Hamburg,Germany,Sea Freight,Standard,15066.25,5,Delivered,False,Joseph Okafor,TRK-881,2025-08-15,2025-09-03,19,2025-08
ORD-10843,Metro Partners,Abuja,Nigeria,Rail Freight,Bulk Contract,10373.84,8,Delayed,False,Michael Ojo,TRK-217,2025-04-13,2025-04-28,15,2025-04
ORD-10888,Prime Imports,Port Harcourt,Nigeria,Road Freight,Standard,4898.82,7,Delivered,True,David Ade,TRK-136,2025-08-10,2025-08-13,3,2025-08
ORD-10139,Swift Logistics,New York,USA,Rail Freight,Bulk Contract,12244.31,6,Delivered,True,Samuel Cole,TRK-794,2025-11-23,2025-12-04,11,2025-11
ORD-10757,Global Industries,Nairobi,Kenya,Sea Freight,Standard,21421.24,7,Delivered,True,James Musa,TRK-805,2025-03-16,2025-04-18,33,2025-03
ORD-10615,Nova Partners,Dubai,UAE,Road Freight,Express,4996.51,2,Delivered,True,Peter Cole,TRK-232,2025-05-18,2025-05-26,8,2025-05
ORD-10499,Vision Holdings,New York,USA,Road Freight,Standard,4971.88,10,Delivered,True,Peter Musa,TRK-799,2026-03-22,2026-03-30,8,2026-03
ORD-10665,Prime Imports,Hamburg,Germany,Road Freight,Standard,8755.35,12,Delivered,True,Samuel Brown,TRK-653,2026-02-07,2026-02-11,4,2026-02
ORD-10584,Blue Holdings,Cairo,Egypt,Sea Freight,Express,26163.28,11,Delivered,True,Ibrahim Smith,TRK-739,2025-06-04,2025-06-28,24,2025-06
ORD-10109,Vision Holdings,Lagos,Nigeria,Air Freight,Standard,7786.59,8,Delivered,True,Samuel Mensah,TRK-489,2025-03-12,2025-03-15,3,2025-03
ORD-10916,Swift Retail,Abuja,Nigeria,Air Freight,Standard,11382.84,9,Delivered,True,James Ali,TRK-169,2025-10-16,2025-10-19,3,2025-10
ORD-10650,Vision Supplies,Port Harcourt,Nigeria,Road Freight,Bulk Contract,4797.44,11,Delivered,False,Peter Musa,TRK-512,2025-02-01,2025-02-09,8,2025-02
ORD-10533,Nova Imports,São Paulo,Brazil,Road Freight,Standard,3669.57,12,Delivered,True,David Cole,TRK-443,2026-01-21,2026-01-27,6,2026-01
ORD-10445,Apex Holdings,Toronto,Canada,Air Freight,Standard,11051.21,10,Delayed,False,James Ojo,TRK-863,2026-01-08,2026-01-17,9,2026-01
ORD-10605,Titan Retail,Nairobi,Kenya,Rail Freight,Standard,7646.48,5,Delivered,True,Michael Cole,TRK-561,2025-08-03,2025-08-10,7,2025-08
ORD-10136,Apex Partners,Johannesburg,South Africa,Road Freight,Standard,8093.69,8,Delivered,True,Ibrahim Brown,TRK-291,2025-05-20,2025-05-23,3,2025-05
ORD-10811,Apex Supplies,São Paulo,Brazil,Air Freight,Standard,11298.07,5,Delivered,True,Unknown,TRK-844,2025-02-05,2025-02-07,2,2025-02
ORD-10514,Global Partners,Shanghai,China,Road Freight,Standard,9630.77,3,Delivered,True,Joseph Ade,TRK-348,2025-02-06,2025-02-08,2,2025-02
ORD-10753,Metro Holdings,Mumbai,India,Road Freight,Bulk Contract,7253.5,11,In Transit,False,Ibrahim Musa,TRK-976,2026-01-28,2026-02-08,11,2026-01
ORD-10158,Metro Partners,Johannesburg,South Africa,Road Freight,Standard,7227.52,6,Delivered,True,Victor Ojo,TRK-252,2025-09-14,2025-09-16,2,2025-09
ORD-10310,Blue Exports,London,UK,Sea Freight,Bulk Contract,16466.68,9,In Transit,False,Ibrahim Ade,TRK-333,2025-06-25,2025-07-20,25,2025-06
ORD-10327,Nova Partners,New York,USA,Road Freight,Same Day,10632.05,8,Delivered,False,Peter Ojo,TRK-216,2025-01-28,2025-02-02,5,2025-01
ORD-10935,Metro Holdings,London,UK,Sea Freight,Express,14260.07,7,Delivered,True,Joseph Ojo,TRK-386,2025-05-17,2025-06-03,17,2025-05
ORD-10254,Global Industries,Abuja,Nigeria,Road Freight,Bulk Contract,6087.34,4,Delayed,False,Michael Smith,TRK-677,2025-06-09,2025-06-18,9,2025-06
ORD-10275,Apex Logistics,Port Harcourt,Nigeria,Sea Freight,Express,22606.13,7,Delivered,False,Samuel Cole,TRK-425,2025-04-01,2025-05-03,32,2025-04
ORD-10901,Titan Exports,São Paulo,Brazil,Sea Freight,Bulk Contract,17041.15,1,Delivered,True,Michael Ali,TRK-699,2026-01-29,2026-02-25,27,2026-01
ORD-10184,Global Imports,São Paulo,Brazil,Road Freight,Express,6175.82,4,Delivered,True,Michael Okafor,TRK-203,2025-12-05,2025-12-10,5,2025-12
ORD-10582,Titan Retail,Johannesburg,South Africa,Rail Freight,Standard,15579.0,17,Delivered,False,John Smith,TRK-687,2026-02-08,2026-02-14,6,2026-02
ORD-10660,Global Partners,Shanghai,China,Road Freight,Bulk Contract,6101.97,10,Delivered,True,John Brown,TRK-547,2026-02-18,2026-02-28,10,2026-02
ORD-10896,Prime Retail,Hamburg,Germany,Road Freight,Same Day,5711.76,10,Delivered,True,Victor Ojo,TRK-997,2026-01-17,2026-01-20,3,2026-01
ORD-10209,Apex Retail,New York,USA,Sea Freight,Standard,30255.08,8,Delivered,True,Daniel Okafor,TRK-469,2025-09-10,2025-09-24,14,2025-09
ORD-10168,Swift Logistics,São Paulo,Brazil,Sea Freight,Express,16221.52,6,Delivered,True,Victor Mensah,TRK-516,2025-07-31,2025-08-17,17,2025-07
ORD-10866,Blue Logistics,Nairobi,Kenya,Road Freight,Standard,5965.04,6,Delivered,True,Peter Mensah,TRK-325,2026-01-25,2026-01-29,4,2026-01
ORD-10280,Swift Holdings,São Paulo,Brazil,Rail Freight,Standard,13014.21,16,In Transit,False,Samuel Ade,TRK-203,2025-09-05,2025-09-21,16,2025-09
ORD-10899,Vision Retail,São Paulo,Brazil,Road Freight,Standard,7936.81,8,Delivered,True,Unknown,TRK-115,2025-05-29,2025-06-09,11,2025-05
ORD-10541,Vision Industries,London,UK,Sea Freight,Standard,19748.55,16,Delivered,True,James Ade,TRK-251,2026-02-09,2026-02-28,19,2026-02
ORD-10055,Global Partners,São Paulo,Brazil,Air Freight,Bulk Contract,4203.07,7,Delivered,True,Peter Mensah,TRK-599,2025-08-26,2025-08-31,5,2025-08
ORD-10120,Swift Industries,New York,USA,Sea Freight,Standard,16452.35,7,Delayed,False,James Ali,TRK-232,2025-11-05,2025-11-23,18,2025-11
ORD-10554,Nova Holdings,New York,USA,Sea Freight,Standard,17633.62,15,Delivered,True,James Ojo,TRK-810,2025-02-04,2025-03-05,29,2025-02
ORD-10025,Elite Logistics,São Paulo,Brazil,Sea Freight,Standard,24268.59,6,Delivered,True,Victor Smith,TRK-779,2025-10-06,2025-11-07,32,2025-10
ORD-10072,Vision Partners,Hamburg,Germany,Road Freight,Express,6467.79,11,Delayed,False,David Ade,TRK-745,2025-04-15,2025-04-21,6,2025-04
ORD-10538,Prime Exports,Abuja,Nigeria,Sea Freight,Standard,11103.93,6,In Transit,False,Daniel Mensah,TRK-995,2025-02-09,2025-02-22,13,2025-02
ORD-10044,Vision Holdings,Port Harcourt,Nigeria,Air Freight,Standard,7675.6,10,Delivered,True,John Khan,TRK-952,2025-04-20,2025-04-21,1,2025-04
ORD-10497,Vision Exports,Abuja,Nigeria,Rail Freight,Express,8494.33,6,Delayed,False,Michael Cole,TRK-851,2026-03-05,2026-03-23,18,2026-03
ORD-10198,Titan Logistics,New York,USA,Sea Freight,Standard,10008.06,13,Delivered,True,Victor Ali,TRK-925,2025-01-07,2025-01-17,10,2025-01
ORD-10377,Elite Retail,Abuja,Nigeria,Air Freight,Standard,6626.5,18,Delivered,False,Joseph Ade,TRK-892,2025-01-20,2025-01-24,4,2025-01
ORD-10314,Vision Imports,Port Harcourt,Nigeria,Sea Freight,Bulk Contract,22390.07,12,Delivered,True,Joseph Khan,TRK-896,2025-11-13,2025-11-26,13,2025-11
ORD-10718,Prime Holdings,Dubai,UAE,Road Freight,Bulk Contract,5552.36,14,Delayed,False,James Ojo,TRK-153,2025-11-25,2025-12-14,19,2025-11
ORD-10208,Prime Imports,Johannesburg,South Africa,Road Freight,Express,8792.07,8,Delayed,False,Joseph Musa,TRK-273,2026-03-19,2026-03-30,11,2026-03
ORD-10721,Blue Supplies,Shanghai,China,Sea Freight,Express,23267.15,2,Delivered,False,Peter Brown,TRK-277,2025-04-17,2025-05-12,25,2025-04
ORD-10918,Prime Partners,Hamburg,Germany,Sea Freight,Express,13993.92,8,Delivered,True,Daniel Brown,TRK-878,2025-01-24,2025-01-31,7,2025-01
ORD-10535,Prime Partners,Johannesburg,South Africa,Air Freight,Express,8882.7,9,Delivered,False,Joseph Khan,TRK-871,2025-12-30,2025-12-31,1,2025-12
ORD-10695,Swift Industries,Dubai,UAE,Road Freight,Express,6827.95,5,Delivered,True,Peter Musa,TRK-811,2025-07-18,2025-07-27,9,2025-07
ORD-10604,Apex Exports,Nairobi,Kenya,Road Freight,Standard,9630.77,14,Delayed,False,Ibrahim Khan,TRK-714,2026-02-05,2026-02-15,10,2026-02
ORD-10590,Metro Supplies,Lagos,Nigeria,Air Freight,Bulk Contract,9449.74,13,Delivered,False,Ibrahim Mensah,TRK-341,2025-06-02,2025-06-03,1,2025-06
